车型名称,产品力,市场表现,用户口碑,创新力,综合得分,排名,w_AHP_产品力,w_熵权_产品力,w_组合_产品力,w_AHP_市场表现,w_熵权_市场表现,w_组合_市场表现,w_AHP_用户口碑,w_熵权_用户口碑,w_组合_用户口碑,w_AHP_创新力,w_熵权_创新力,w_组合_创新力
特斯拉model3,100.0,63.37269189717454,19.506372379226576,100.0,78.6364,1,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
奔驰EQE,91.50065102176796,19.290865261604036,64.93660900412246,100.0,78.1149,2,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
宝马i3,97.21252651461896,0.0,61.052090497038634,100.0,75.8359,3,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
特斯拉modelY,88.38552714424563,48.85013184365784,15.598818819455246,100.0,72.4482,4,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
比亚迪汉,77.74911516055481,49.079115261324404,64.50119813561045,79.07407407407408,71.1364,5,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
理想L7,78.70272451081675,42.71248665055489,71.18871013591455,55.55555555555556,62.7619,6,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
比亚迪秦PLUS,34.298760919132704,45.14543831666465,69.45145173836733,85.49382716049382,62.2065,7,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
理想L8,78.70272451081675,41.57066696614409,62.280033018795734,55.55555555555556,60.8603,8,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
比亚迪宋PRO新能源,33.565215265085065,54.3147143465246,73.0425610190472,55.55555555555556,52.8171,9,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
福特探险者,79.39959288216201,72.53879797652651,89.4570934044424,2.7777777777777777,51.2214,10,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
丰田凯美瑞,26.051262615457034,73.90549634309389,65.49857718510518,47.22222222222222,49.2948,11,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
本田CRV,39.96151108181869,74.50155850974215,39.42058390230473,33.08080808080807,42.7398,12,0.3742261904761905,0.16398777172536264,0.2691069811007766,0.22294642857142857,0.0949264710891494,0.15893644983028898,0.23857142857142857,0.14760090625341693,0.19308616741242274,0.16425595238095236,0.593484850932071,0.3788704016565117
